link,prim,enabled,approx,path
L2_Left_Wall1_1,node_STL_BINARY_,True,convexDecomposition,/World/Crusher_IsaacSim/L2_Left_Wall1_1/collisions/L2_Left_Wall1_1/node_STL_BINARY_
L2_Wall3_1,node_STL_BINARY_,True,convexHull,/World/Crusher_IsaacSim/L2_Wall3_1/collisions/L2_Wall3_1/node_STL_BINARY_
L1_Braket1_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L1_Braket1_1/collisions/L1_Braket1_1/node_STL_BINARY_
L1_Guide1_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L1_Guide1_1/collisions/L1_Guide1_1/node_STL_BINARY_
L1_Guide2_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L1_Guide2_1/collisions/L1_Guide2_1/node_STL_BINARY_
L1_Slider_jig_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L1_Slider_jig_1/collisions/L1_Slider_jig_1/node_STL_BINARY_
L1_Wall1_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L1_Wall1_1/collisions/L1_Wall1_1/node_STL_BINARY_
L1_Wall2_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L1_Wall2_1/collisions/L1_Wall2_1/node_STL_BINARY_
L2_Braket2_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L2_Braket2_1/collisions/L2_Braket2_1/node_STL_BINARY_
L2_GearCase2_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L2_GearCase2_1/collisions/L2_GearCase2_1/node_STL_BINARY_
L2_GearCase3_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L2_GearCase3_1/collisions/L2_GearCase3_1/node_STL_BINARY_
L2_Linear_bush_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L2_Linear_bush_1/collisions/L2_Linear_bush_1/node_STL_BINARY_
L2__Motor2_Braket_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L2__Motor2_Braket_1/collisions/L2__Motor2_Braket_1/node_STL_BINARY_
L3_Bevel_GearBox_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L3_Bevel_GearBox_1/collisions/L3_Bevel_GearBox_1/node_STL_BINARY_
L3_GearCase1_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L3_GearCase1_1/collisions/L3_GearCase1_1/node_STL_BINARY_
L3_Motor2_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L3_Motor2_1/collisions/L3_Motor2_1/node_STL_BINARY_
L3_RackGear_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L3_RackGear_1/collisions/L3_RackGear_1/node_STL_BINARY_
L4_Bevel_GearBox2_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L4_Bevel_GearBox2_1/collisions/L4_Bevel_GearBox2_1/node_STL_BINARY_
L4_Motor1_FrontBearing_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L4_Motor1_FrontBearing_1/collisions/L4_Motor1_FrontBearing_1/node_STL_BINARY_
L4_Motor1_RearBearing_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L4_Motor1_RearBearing_1/collisions/L4_Motor1_RearBearing_1/node_STL_BINARY_
L4_Motor2_Shaft_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L4_Motor2_Shaft_1/collisions/L4_Motor2_Shaft_1/node_STL_BINARY_
L4_Reducer1_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L4_Reducer1_1/collisions/L4_Reducer1_1/node_STL_BINARY_
L4_Shaft_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L4_Shaft_1/collisions/L4_Shaft_1/node_STL_BINARY_
L5_Coupler_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L5_Coupler_1/collisions/L5_Coupler_1/node_STL_BINARY_
L5_Key_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L5_Key_1/collisions/L5_Key_1/node_STL_BINARY_
L5_Link1_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L5_Link1_1/collisions/L5_Link1_1/node_STL_BINARY_
L5_Motor1_FrontSnapring_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L5_Motor1_FrontSnapring_1/collisions/L5_Motor1_FrontSnapring_1/node_STL_BINARY_
L5_Motor1_RearSnapring_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L5_Motor1_RearSnapring_1/collisions/L5_Motor1_RearSnapring_1/node_STL_BINARY_
L5_Reducer2_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L5_Reducer2_1/collisions/L5_Reducer2_1/node_STL_BINARY_
L6_DcutShaft_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L6_DcutShaft_1/collisions/L6_DcutShaft_1/node_STL_BINARY_
L6_Link2_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L6_Link2_1/collisions/L6_Link2_1/node_STL_BINARY_
L6_Motor1_Bolt_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L6_Motor1_Bolt_1/collisions/L6_Motor1_Bolt_1/node_STL_BINARY_
L6_Motor1_Braket_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L6_Motor1_Braket_1/collisions/L6_Motor1_Braket_1/node_STL_BINARY_
L7_Holder_Bearing1_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L7_Holder_Bearing1_1/collisions/L7_Holder_Bearing1_1/node_STL_BINARY_
L7_Holder_Bearing2_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L7_Holder_Bearing2_1/collisions/L7_Holder_Bearing2_1/node_STL_BINARY_
L7_Link3_1,node_STL_BINARY_,False,convexHull,/World/Crusher_IsaacSim/L7_Link3_1/collisions/L7_Link3_1/node_STL_BINARY_
