run	status	secs	summary
a1_base	OK	521	flange=OFF mode=velocity v=8.0mm/s F=100N kp=5000 hold=0 wall=-16.99mm body_gap=+0.51mm stalled=N drop=-27.5mm tilt=0.4deg width=24.5mm reach_err=-27.7mm verdict=FAIL
b1_flangeON	STALL	1501	clamp 마지막 관측: [clamp t= 2.04s] wall=  -9.05mm v= -25.95mm/s  본체면 잔여  +8.45mm  bag_com=[ 0.1852365  -0.00222804  0.09541604]
a2_F200	OK	1054	flange=OFF mode=velocity v=8.0mm/s F=200N kp=5000 hold=0 wall=-16.99mm body_gap=+0.51mm stalled=N drop=-26.7mm tilt=1.5deg width=23.4mm reach_err=-26.9mm verdict=FAIL
a3_F400	OK	457	flange=OFF mode=velocity v=8.0mm/s F=400N kp=5000 hold=0 wall=-16.99mm body_gap=+0.51mm stalled=N drop=-26.6mm tilt=2.5deg width=27.8mm reach_err=-26.9mm verdict=FAIL
b2_v2	OK	686	flange=OFF mode=velocity v=2.0mm/s F=100N kp=5000 hold=0 wall=-16.99mm body_gap=+0.51mm stalled=N drop=-27.1mm tilt=3.3deg width=25.8mm reach_err=-27.7mm verdict=FAIL
a4_base_r2	STALL	1501	clamp 마지막 관측: [clamp t= 2.04s] wall=  -9.76mm v= -16.29mm/s  본체면 잔여  +7.74mm  bag_com=[ 0.1853037  -0.00254711  0.0952699 ]
b3_v2_F200	STALL	1501	clamp 마지막 관측: [clamp t=15.87s] wall= -16.99mm v=  -0.00mm/s  본체면 잔여  +0.51mm  bag_com=[ 0.186241   -0.01316134  0.0950866 ]
a5_F200_r2	OK	419	flange=OFF mode=velocity v=8.0mm/s F=200N kp=5000 hold=0 wall=-16.99mm body_gap=+0.51mm stalled=N drop=-26.7mm tilt=1.5deg width=21.7mm reach_err=-26.9mm verdict=FAIL
b4_v4_F200	OK	528	flange=OFF mode=velocity v=4.0mm/s F=200N kp=5000 hold=0 wall=-16.99mm body_gap=+0.51mm stalled=N drop=-26.6mm tilt=1.6deg width=20.4mm reach_err=-26.9mm verdict=FAIL
a6_F800	OK	456	flange=OFF mode=velocity v=8.0mm/s F=800N kp=5000 hold=0 wall=-16.99mm body_gap=+0.51mm stalled=N drop=-20.3mm tilt=1.6deg width=22.6mm reach_err=-26.9mm verdict=FAIL
b5_v2_r2	ERR(1)	297	
b6_v2_F400	ERR(1)	814	
d1_arm2	ERR(1)	796	
c3_arm10_F200	ERR(1)	732	
d2_kv100	ERR(1)	732	
c4_arm10_r2	ERR(1)	17	
d3_arm10_v2	ERR(1)	16	
c2_arm50	ERR(1)	16	
d4_arm50_r2	ERR(127)	77	00007FFA8DA4D01100007FFA8DA4CDF0 ntdll.dll!RtlRaiseException [<unknown file> @ <unknown line number>]
