NO.                 |Time                |Value               |Pressure            |
--------------------+--------------------+--------------------+--------------------+
28108               |오후 3:18:59          |0 N                 |0.0000MPa           |
28109               |오후 3:19:00          |0 N                 |0.0000MPa           |
28110               |오후 3:19:00          |0 N                 |0.0000MPa           |
28111               |오후 3:19:00          |0 N                 |0.0000MPa           |
28112               |오후 3:19:00          |0 N                 |0.0000MPa           |
28113               |오후 3:19:00          |0 N                 |0.0000MPa           |
28114               |오후 3:19:01          |0 N                 |0.0000MPa           |
28115               |오후 3:19:01          |0 N                 |0.0000MPa           |
28116               |오후 3:19:01          |0 N                 |0.0000MPa           |
28117               |오후 3:19:01          |0 N                 |0.0000MPa           |
28118               |오후 3:19:01          |0 N                 |0.0000MPa           |
28119               |오후 3:19:01          |0 N                 |0.0000MPa           |
28120               |오후 3:19:02          |0 N                 |0.0000MPa           |
28121               |오후 3:19:02          |0 N                 |0.0000MPa           |
28122               |오후 3:19:02          |0 N                 |0.0000MPa           |
28123               |오후 3:19:02          |0 N                 |0.0000MPa           |
28124               |오후 3:19:02          |0 N                 |0.0000MPa           |
28125               |오후 3:19:03          |0 N                 |0.0000MPa           |
28126               |오후 3:19:03          |0 N                 |0.0000MPa           |
28127               |오후 3:19:03          |0 N                 |0.0000MPa           |
28128               |오후 3:19:03          |0 N                 |0.0000MPa           |
28129               |오후 3:19:03          |0 N                 |0.0000MPa           |
28130               |오후 3:19:04          |0 N                 |0.0000MPa           |
28131               |오후 3:19:04          |0 N                 |0.0000MPa           |
28132               |오후 3:19:04          |0 N                 |0.0000MPa           |
28133               |오후 3:19:04          |0 N                 |0.0000MPa           |
28134               |오후 3:19:04          |0 N                 |0.0000MPa           |
28135               |오후 3:19:04          |0 N                 |0.0000MPa           |
28136               |오후 3:19:05          |0 N                 |0.0000MPa           |
28137               |오후 3:19:05          |0 N                 |0.0000MPa           |
28138               |오후 3:19:05          |0 N                 |0.0000MPa           |
28139               |오후 3:19:05          |0 N                 |0.0000MPa           |
28140               |오후 3:19:05          |0 N                 |0.0000MPa           |
28141               |오후 3:19:06          |0 N                 |0.0000MPa           |
28142               |오후 3:19:06          |0 N                 |0.0000MPa           |
28143               |오후 3:19:06          |0 N                 |0.0000MPa           |
28144               |오후 3:19:06          |0 N                 |0.0000MPa           |
28145               |오후 3:19:06          |0 N                 |0.0000MPa           |
28146               |오후 3:19:07          |0 N                 |0.0000MPa           |
28147               |오후 3:19:07          |0 N                 |0.0000MPa           |
28148               |오후 3:19:07          |0 N                 |0.0000MPa           |
28149               |오후 3:19:07          |37 N                |37.0000MPa          |
28150               |오후 3:19:07          |199 N               |199.0000MPa         |
28151               |오후 3:19:07          |341 N               |341.0000MPa         |
28152               |오후 3:19:08          |447 N               |447.0000MPa         |
28153               |오후 3:19:08          |529 N               |529.0000MPa         |
28154               |오후 3:19:08          |553 N               |553.0000MPa         |
28155               |오후 3:19:08          |552 N               |552.0000MPa         |
28156               |오후 3:19:08          |551 N               |551.0000MPa         |
28157               |오후 3:19:09          |550 N               |550.0000MPa         |
28158               |오후 3:19:09          |537 N               |537.0000MPa         |
28159               |오후 3:19:09          |509 N               |509.0000MPa         |
28160               |오후 3:19:09          |445 N               |445.0000MPa         |
28161               |오후 3:19:09          |105 N               |105.0000MPa         |
28162               |오후 3:19:10          |0 N                 |0.0000MPa           |
28163               |오후 3:19:10          |0 N                 |0.0000MPa           |
28164               |오후 3:19:10          |0 N                 |0.0000MPa           |
28165               |오후 3:19:10          |0 N                 |0.0000MPa           |
28166               |오후 3:19:10          |0 N                 |0.0000MPa           |
28167               |오후 3:19:10          |0 N                 |0.0000MPa           |
28168               |오후 3:19:11          |0 N                 |0.0000MPa           |
28169               |오후 3:19:11          |0 N                 |0.0000MPa           |
28170               |오후 3:19:11          |0 N                 |0.0000MPa           |
28171               |오후 3:19:11          |0 N                 |0.0000MPa           |
28172               |오후 3:19:11          |0 N                 |0.0000MPa           |
28173               |오후 3:19:12          |0 N                 |0.0000MPa           |
28174               |오후 3:19:12          |0 N                 |0.0000MPa           |
28175               |오후 3:19:12          |0 N                 |0.0000MPa           |
28176               |오후 3:19:12          |0 N                 |0.0000MPa           |
28177               |오후 3:19:12          |0 N                 |0.0000MPa           |
28178               |오후 3:19:13          |0 N                 |0.0000MPa           |
28179               |오후 3:19:13          |0 N                 |0.0000MPa           |
28180               |오후 3:19:13          |0 N                 |0.0000MPa           |
28181               |오후 3:19:13          |0 N                 |0.0000MPa           |
28182               |오후 3:19:13          |0 N                 |0.0000MPa           |
28183               |오후 3:19:14          |0 N                 |0.0000MPa           |
28184               |오후 3:19:14          |0 N                 |0.0000MPa           |
28185               |오후 3:19:14          |0 N                 |0.0000MPa           |
28186               |오후 3:19:14          |0 N                 |0.0000MPa           |
28187               |오후 3:19:14          |0 N                 |0.0000MPa           |
28188               |오후 3:19:14          |0 N                 |0.0000MPa           |
28189               |오후 3:19:15          |0 N                 |0.0000MPa           |
28190               |오후 3:19:15          |0 N                 |0.0000MPa           |
28191               |오후 3:19:15          |0 N                 |0.0000MPa           |
