# Genesis CPU velocity control
# STL,tablet_R6.5_AR1.00_CV0.08.stl,R_mm,6.5,AR,1.0,CV,0.08
# target_rpm,8.0,density_kg_m3,1200.0
# F_Y_max,133.25948,F_Y_min,0.00000,Impulse_Ns,379.143651

Time_s,Crank_deg,F_Y_N,Crank_RPM
0.50000,-43.711,0.00000,-1.0447
0.50100,-43.717,0.00000,-1.0421
0.50200,-43.723,0.00000,-1.0395
0.50300,-43.729,0.00000,-1.0370
0.50400,-43.736,0.00000,-1.0344
0.50500,-43.742,0.00000,-1.0319
0.50600,-43.748,0.00000,-1.0293
0.50700,-43.754,0.00000,-1.0268
0.50800,-43.760,0.00000,-1.0243
0.50900,-43.766,0.00000,-1.0219
0.51000,-43.772,0.00000,-1.0194
0.51100,-43.779,0.00000,-1.0169
0.51200,-43.785,0.00000,-1.0145
0.51300,-43.791,0.00000,-1.0121
0.51400,-43.797,0.00000,-1.0097
0.51500,-43.803,0.00000,-1.0073
0.51600,-43.809,0.00000,-1.0049
0.51700,-43.815,0.00000,-1.0026
0.51800,-43.821,0.00000,-1.0002
0.51900,-43.827,0.00000,-0.9979
0.52000,-43.833,0.00000,-0.9956
0.52100,-43.839,0.00000,-0.9933
0.52200,-43.845,0.00000,-0.9910
0.52300,-43.851,0.00000,-0.9887
0.52400,-43.857,0.00000,-0.9865
0.52500,-43.862,0.00000,-0.9842
0.52600,-43.868,0.00000,-0.9820
0.52700,-43.874,0.00000,-0.9798
0.52800,-43.880,0.00000,-0.9776
0.52900,-43.886,0.00000,-0.9755
0.53000,-43.892,0.00000,-0.9733
0.53100,-43.898,0.00000,-0.9712
0.53200,-43.903,0.00000,-0.9690
0.53300,-43.909,0.00000,-0.9669
0.53400,-43.915,0.00000,-0.9648
0.53500,-43.921,0.00000,-0.9627
0.53600,-43.927,0.00000,-0.9606
0.53700,-43.932,0.00000,-0.9586
0.53800,-43.938,0.00000,-0.9565
0.53900,-43.944,0.00000,-0.9545
0.54000,-43.950,0.00000,-0.9525
0.54100,-43.955,0.00000,-0.9504
0.54200,-43.961,0.00000,-0.9484
0.54300,-43.967,0.00000,-0.9465
0.54400,-43.972,0.00000,-0.9445
0.54500,-43.978,0.00000,-0.9425
0.54600,-43.984,0.00000,-0.9405
0.54700,-43.989,0.00000,-0.9386
0.54800,-43.995,0.00000,-0.9367
0.54900,-44.000,0.00000,-0.9347
0.55000,-44.006,0.00000,-0.9328
0.55100,-44.012,0.00000,-0.9309
0.55200,-44.017,0.00000,-0.9290
0.55300,-44.023,0.00000,-0.9271
0.55400,-44.028,0.00000,-0.9253
0.55500,-44.034,0.00000,-0.9234
0.55600,-44.039,0.00000,-0.9216
0.55700,-44.045,0.00000,-0.9197
0.55800,-44.050,0.00000,-0.9179
0.55900,-44.056,0.00000,-0.9160
0.56000,-44.061,0.00000,-0.9142
0.56100,-44.067,0.00000,-0.9124
0.56200,-44.072,0.00000,-0.9106
0.56300,-44.078,0.00000,-0.9088
0.56400,-44.083,0.00000,-0.9070
0.56500,-44.089,0.00000,-0.9052
0.56600,-44.094,0.00000,-0.9035
0.56700,-44.099,0.00000,-0.9017
0.56800,-44.105,0.00000,-0.8999
0.56900,-44.110,0.00000,-0.8982
0.57000,-44.116,0.00000,-0.8964
0.57100,-44.121,0.00000,-0.8947
0.57200,-44.126,0.00000,-0.8929
0.57300,-44.132,0.00000,-0.8912
0.57400,-44.137,0.00000,-0.8895
0.57500,-44.142,0.00000,-0.8877
0.57600,-44.148,0.00000,-0.8860
0.57700,-44.153,0.00000,-0.8843
0.57800,-44.158,0.00000,-0.8826
0.57900,-44.164,0.00000,-0.8809
0.58000,-44.169,0.00000,-0.8792
0.58100,-44.174,0.00000,-0.8775
0.58200,-44.179,0.00000,-0.8758
