t_s,n_nan,disp_mean_mm,disp_max_mm,vel_mean,vel_max,fix_drift_mm
0.0250,0,1.41882,3.38970,0.05675,0.13559,0.00000
0.0500,0,1.50875,3.45643,0.00960,0.05442,0.00000
0.0750,0,1.45346,3.35183,0.00526,0.03094,0.00000
0.1000,0,1.38248,3.32981,0.00514,0.02419,0.00000
0.1250,0,1.38346,3.33246,0.00186,0.01483,0.00000
0.1500,0,1.42652,3.31561,0.00300,0.01317,0.00000
0.1750,0,1.44378,3.33948,0.00192,0.00715,0.00000
0.2000,0,1.41859,3.31809,0.00255,0.00721,0.00000
0.2250,0,1.40103,3.31515,0.00189,0.01045,0.00000
0.2500,0,1.41174,3.30203,0.00111,0.00512,0.00000
0.2750,0,1.42608,3.31275,0.00075,0.00338,0.00000
0.3000,0,1.42143,3.32266,0.00097,0.00264,0.00000
0.3250,0,1.41289,3.32527,0.00119,0.00429,0.00000
0.3500,0,1.41517,3.33365,0.00088,0.00273,0.00000
0.3750,0,1.42047,3.32443,0.00061,0.00337,0.00000
0.4000,0,1.41911,3.32014,0.00015,0.00087,0.00000
0.4250,0,1.41587,3.32496,0.00046,0.00279,0.00000
0.4500,0,1.41641,3.32463,0.00053,0.00182,0.00000
0.4750,0,1.41809,3.32344,0.00048,0.00253,0.00000
0.5000,0,1.41732,3.31304,0.00040,0.00118,0.00000
0.5250,0,1.41650,3.31492,0.00015,0.00086,0.00000
0.5500,0,1.41729,3.32314,0.00024,0.00100,0.00000
0.5750,0,1.41775,3.32734,0.00022,0.00188,0.00000
0.6000,0,1.41738,3.32710,0.00020,0.00076,0.00000
0.6250,0,1.41733,3.32035,0.00026,0.00057,0.00000
0.6500,0,1.41743,3.31956,0.00012,0.00089,0.00000
0.6750,0,1.41733,3.32218,0.00017,0.00045,0.00000
0.7000,0,1.41722,3.32498,0.00013,0.00039,0.00000
0.7250,0,1.41723,3.32279,0.00009,0.00041,0.00000
0.7500,0,1.41726,3.31794,0.00017,0.00036,0.00000
0.7750,0,1.41725,3.31844,0.00006,0.00025,0.00000
0.8000,0,1.41731,3.32321,0.00015,0.00053,0.00000
0.8250,0,1.41735,3.32668,0.00011,0.00017,0.00000
0.8500,0,1.41730,3.32384,0.00008,0.00013,0.00000
0.8750,0,1.41729,3.31915,0.00015,0.00032,0.00000
0.9000,0,1.41725,3.31848,0.00002,0.00008,0.00000
0.9250,0,1.41725,3.32239,0.00014,0.00018,0.00000
0.9500,0,1.41729,3.32524,0.00010,0.00014,0.00000
0.9750,0,1.41730,3.32336,0.00008,0.00013,0.00000
1.0000,0,1.41729,3.31951,0.00014,0.00018,0.00000
1.0250,0,1.41727,3.31923,0.00001,0.00004,0.00000
1.0500,0,1.41730,3.32302,0.00013,0.00019,0.00000
1.0750,0,1.41731,3.32496,0.00007,0.00011,0.00000
1.1000,0,1.41725,3.32284,0.00008,0.00012,0.00000
1.1250,0,1.41734,3.31969,0.00012,0.00016,0.00000
1.1500,0,1.41729,3.31985,0.00001,0.00004,0.00000
1.1750,0,1.41728,3.32317,0.00012,0.00016,0.00000
1.2000,0,1.41730,3.32466,0.00006,0.00010,0.00000
1.2250,0,1.41727,3.32238,0.00008,0.00016,0.00000
1.2500,0,1.41729,3.31955,0.00011,0.00014,0.00000
1.2750,0,1.41731,3.32009,0.00002,0.00004,0.00000
1.3000,0,1.41726,3.32310,0.00011,0.00013,0.00000
1.3250,0,1.41728,3.32440,0.00005,0.00008,0.00000
1.3500,0,1.41729,3.32226,0.00008,0.00013,0.00000
1.3750,0,1.41726,3.31968,0.00009,0.00014,0.00000
1.4000,0,1.41725,3.32031,0.00002,0.00004,0.00000
1.4250,0,1.41730,3.32304,0.00010,0.00014,0.00000
1.4500,0,1.41725,3.32417,0.00004,0.00006,0.00000
1.4750,0,1.41731,3.32223,0.00007,0.00011,0.00000
1.5000,0,1.41727,3.31997,0.00007,0.00014,0.00000
1.5250,0,1.41728,3.32063,0.00002,0.00005,0.00000
1.5500,0,1.41730,3.32294,0.00009,0.00012,0.00000
1.5750,0,1.41728,3.32380,0.00003,0.00005,0.00000
1.6000,0,1.41726,3.32181,0.00007,0.00013,0.00000
1.6250,0,1.41734,3.32025,0.00006,0.00009,0.00000
1.6500,0,1.41729,3.32095,0.00003,0.00005,0.00000
1.6750,0,1.41725,3.32308,0.00008,0.00012,0.00000
1.7000,0,1.41732,3.32352,0.00002,0.00007,0.00000
1.7250,0,1.41728,3.32184,0.00006,0.00009,0.00000
1.7500,0,1.41727,3.32033,0.00005,0.00010,0.00000
1.7750,0,1.41726,3.32116,0.00003,0.00007,0.00000
1.8000,0,1.41727,3.32305,0.00007,0.00010,0.00000
1.8250,0,1.41731,3.32337,0.00001,0.00003,0.00000
1.8500,0,1.41727,3.32162,0.00006,0.00010,0.00000
1.8750,0,1.41726,3.32039,0.00004,0.00008,0.00000
1.9000,0,1.41730,3.32143,0.00003,0.00005,0.00000
1.9250,0,1.41731,3.32304,0.00006,0.00008,0.00000
1.9500,0,1.41727,3.32306,0.00001,0.00002,0.00000
1.9750,0,1.41729,3.32157,0.00006,0.00008,0.00000
2.0000,0,1.41732,3.32062,0.00004,0.00006,0.00000
