link,material,r,g,b,a,specular,shininess,reflectance,emission
L1_Guide1_1,Iron_Cast_13,0,0,0,1,0.28,0.18,0.07,0
L1_Guide2_1,Iron_Cast_14,0,0,0,1,0.28,0.18,0.07,0
L1_Slider_jig_1,Iron_Cast_03,0,0,0,1,0.25,0.15,0.06,0
L1_Wall1_1,Iron_Cast_06,0,0,0,1,0.25,0.15,0.06,0
L1_Wall2_1,Iron_Cast_05,0,0,0,1,0.25,0.15,0.06,0
L2_Braket2_1,Iron_Cast_01,0,0,0,1,0.3,0.2,0.08,0
L2_GearCase2_1,Iron_Cast_08,0,0,0,1,0.3,0.2,0.08,0
L2_GearCase3_1,Iron_Cast_09,0,0,0,1,0.3,0.2,0.08,0
L2_Left_Wall1_1,Iron_Cast_10,0,0,0,1,0.3,0.2,0.08,0
L2_Linear_bush_1,Aluminum_01,189,189,189,1,0.9,0.75,0.55,0
L2_Wall3_1,Iron_Cast_04,0,0,0,1,0.25,0.15,0.06,0
L3_Bevel_GearBox_1,Iron_Cast_15,93,93,93,1,0.28,0.18,0.07,0
L3_GearCase1_1,Iron_Cast_08,0,0,0,1,0.3,0.2,0.08,0
L3_Motor2_1,Aluminum_Scratched,189,189,189,1,0.7,0.45,0.35,0
L3_RackGear_1,Plastic_ABS,255,255,255,1,0.3,0.4,0,0
L4_Bevel_GearBox2_1,Paper_01,153,112,0,1,0.05,0.05,0,0
L4_Motor1_FrontBearing_1,Aluminum_Scratched_02,189,189,189,1,0.65,0.4,0.3,0
L4_Motor1_RearBearing_1,Aluminum_Scratched_02,189,189,189,1,0.65,0.4,0.3,0
L4_Motor2_Shaft_1,Aluminum_Scratched_01,189,189,189,1,0.65,0.4,0.3,0
L4_Reducer1_1,Plastic_ABS_01,0,51,153,1,0.3,0.4,0,0
L4_Shaft_1,Iron_Brushed_02,189,189,189,1,0.45,0.35,0.15,0
L5_Coupler_1,Aluminum_Scratched_02,189,189,189,1,0.65,0.4,0.3,0
L5_Key_1,Iron_Brushed_02,189,189,189,1,0.45,0.35,0.15,0
L5_Link1_1,Aluminum_Brushed,189,189,189,1,0.8,0.6,0.45,0
L5_Motor1_FrontSnapring_1,Iron_Cast_01,0,0,0,1,0.3,0.2,0.08,0
L5_Motor1_RearSnapring_1,Iron_Cast_01,0,0,0,1,0.3,0.2,0.08,0
L5_Reducer2_1,Aluminum_Brushed_01,189,189,189,1,0.78,0.58,0.42,0
L6_DcutShaft_1,Iron_Cast_15,93,93,93,1,0.28,0.18,0.07,0
L6_Link2_1,Iron_Cast_01,0,0,0,1,0.3,0.2,0.08,0
L6_Motor1_Bolt_1,Iron_Cast_12,0,0,0,1,0.28,0.18,0.07,0
L6_Motor1_Braket_1,Aluminum_Scratched,0,0,0,1,0.7,0.45,0.35,0
L7_Holder_Bearing1_1,Aluminum_Scratched,0,0,0,1,0.7,0.45,0.35,0
L7_Holder_Bearing2_1,Aluminum_Scratched,0,0,0,1,0.7,0.45,0.35,0
L7_Link3_1,Iron_Cast_01,0,0,0,1,0.3,0.2,0.08,0
L7_Motor1_Body_1,Plastic_ABS_02,93,93,93,1,0.25,0.35,0,0
L7_SpurGear_1,Iron_Cast_07,0,0,0,1,0.3,0.2,0.08,0
L9_PLATE_v3_1,Iron_Cast_11,0,0,0,1,0.28,0.18,0.07,0
base_link,Iron_Cast,0,0,0,1,0.3,0.2,0.08,0
