STL,R_mm,AR,CV,density,fy_max,fy_min,impulse,rpm_target,kv
tablet_R4.0_AR1.00_CV0.08.stl,4.0,1.0,0.08,1200.0,0.0,0.0,0.0,8.0,60.0
tablet_R4.0_AR1.00_CV0.11.stl,4.0,1.0,0.11,1200.0,0.0,0.0,0.0,8.0,60.0
tablet_R4.0_AR1.00_CV0.14.stl,4.0,1.0,0.14,1200.0,0.0,0.0,0.0,8.0,60.0
tablet_R4.0_AR1.00_CV0.17.stl,4.0,1.0,0.17,1200.0,0.0,0.0,0.0,8.0,60.0
tablet_R4.0_AR1.00_CV0.20.stl,4.0,1.0,0.2,1200.0,0.0,0.0,0.0,8.0,60.0
tablet_R4.0_AR1.00_CV0.23.stl,4.0,1.0,0.23,1200.0,0.0,0.0,0.0,8.0,60.0
tablet_R4.0_AR1.00_CV0.26.stl,4.0,1.0,0.26,1200.0,0.0,0.0,0.0,8.0,60.0
tablet_R4.0_AR1.00_CV0.29.stl,4.0,1.0,0.29,1200.0,0.0,0.0,0.0,8.0,60.0
tablet_R4.0_AR1.00_CV0.32.stl,4.0,1.0,0.32,1200.0,0.0,0.0,0.0,8.0,60.0
tablet_R4.0_AR1.00_CV0.35.stl,4.0,1.0,0.35,1200.0,0.0,0.0,0.0,8.0,60.0
