# Crusher Tablet Simulation — slide joint
# Generated,2026-06-05T14:11:10
# STL,tablet_R4.0_AR1.00_CV0.08.stl,R_mm,4.0,AR,1.0,CV,0.08
# density_kg_m3,1200.0,slide_damping_Nsm,10.0
# solref_tau_s,0.020000
# MOTOR_CTRL_Nm,-0.5,MOTOR_DELAY_s,3.0
# F_Y_max_N,0.02606,F_Y_min_N,-0.02480,Impulse_Ns,-0.000815,disp_max_mm,1.6544

Time_s,F_X_N,F_Y_N,F_Z_N,F_mag_N,Slider_Y_mm,Tablet_Y_mm,Gap_mm,Slide_disp_mm,Slide_vel_mms,Crank_vel_rads,Motor_dir,ncon
0.99200,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
0.99400,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
0.99600,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
0.99800,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.00000,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.00200,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.00400,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.00600,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.00800,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.01000,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.01200,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.01400,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.01600,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.01800,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.02000,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.02200,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.02400,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.02600,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.02800,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.03000,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.03200,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.03400,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.03600,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.03800,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.04000,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
1.04200,0.000000,0.000000,0.000000,0.000000,214.1261,335.1591,121.0330,0.00011,0.00000,0.000000,off,0
