# Velocity Control — Tablet Force Profile
# STL,tablet_R6.0_AR1.50_CV0.14.stl,R_mm,6.0,AR,1.5,CV,0.14
# target_rpm,8.0,kv,14.920775914865189,forcelim,12.5
# density_kg_m3,1200.0
# F_Y_max,0.00000,F_Y_min,-803.00651,Impulse_Ns,-1775.006652

Time_s,F_X_N,F_Y_N,F_Z_N,Crank_RPM,Motor_torque_Nm
0.50100,0.00000,0.00000,0.00000,-0.3337,0.5148
0.50200,0.00000,0.00000,0.00000,-0.3370,0.5207
0.50300,0.00000,0.00000,0.00000,-0.3398,0.5259
0.50400,0.00000,0.00000,0.00000,-0.3421,0.5302
0.50500,0.00000,0.00000,0.00000,-0.3440,0.5338
0.50600,0.00000,0.00000,0.00000,-0.3453,0.5367
0.50700,0.00000,0.00000,0.00000,-0.3462,0.5388
0.50800,0.00000,0.00000,0.00000,-0.3466,0.5402
0.50900,0.00000,0.00000,0.00000,-0.3466,0.5408
0.51000,0.00000,0.00000,0.00000,-0.3460,0.5407
0.51100,0.00000,0.00000,0.00000,-0.3451,0.5399
0.51200,0.00000,0.00000,0.00000,-0.3437,0.5384
0.51300,0.00000,0.00000,0.00000,-0.3418,0.5362
0.51400,0.00000,0.00000,0.00000,-0.3396,0.5334
0.51500,0.00000,0.00000,0.00000,-0.3369,0.5298
0.51600,0.00000,0.00000,0.00000,-0.3338,0.5257
0.51700,0.00000,0.00000,0.00000,-0.3296,0.5208
0.51800,0.00000,0.00000,0.00000,-0.3201,0.5143
0.51900,0.00000,0.00000,0.00000,-0.3063,0.4995
0.52000,0.00000,0.00000,0.00000,-0.2926,0.4779
0.52100,0.00000,0.00000,0.00000,-0.2827,0.4566
0.52200,0.00000,0.00000,0.00000,-0.2765,0.4410
0.52300,0.00000,0.00000,0.00000,-0.2711,0.4315
0.52400,0.00000,0.00000,0.00000,-0.2654,0.4230
0.52500,0.00000,0.00000,0.00000,-0.2596,0.4142
0.52600,0.00000,0.00000,0.00000,-0.2535,0.4050
0.52700,0.00000,0.00000,0.00000,-0.2472,0.3956
0.52800,0.00000,0.00000,0.00000,-0.2407,0.3858
0.52900,0.00000,0.00000,0.00000,-0.2340,0.3756
0.53000,0.00000,0.00000,0.00000,-0.2271,0.3652
0.53100,0.00000,0.00000,0.00000,-0.2200,0.3544
0.53200,0.00000,0.00000,0.00000,-0.2127,0.3433
0.53300,0.00000,0.00000,0.00000,-0.2053,0.3320
