# Velocity Control — Headless Diagnostic
# STL,tablet_R6.0_AR1.50_CV0.14.stl,R_mm,6.0,AR,1.5,CV,0.14
# target_rpm,8.0,kv,14.920775914865189,forcelim,12.5
# density_kg_m3,1200.0
# F_Y_max,0.00000,F_Y_min,-89.31969,Impulse_Ns,-287.338515

Time_s,Crank_deg,F_Y_N,Crank_RPM,ncon
0.50100,-90.009,0.00000,-0.2264,0
0.50200,-90.011,0.00000,-0.2211,0
0.50300,-90.012,0.00000,-0.2157,0
0.50400,-90.013,0.00000,-0.2101,0
0.50500,-90.014,0.00000,-0.2044,0
0.50600,-90.016,0.00000,-0.1984,0
0.50700,-90.017,0.00000,-0.1923,0
0.50800,-90.018,0.00000,-0.1860,0
0.50900,-90.019,0.00000,-0.1796,0
0.51000,-90.020,0.00000,-0.1731,0
0.51100,-90.021,0.00000,-0.1664,0
0.51200,-90.022,0.00000,-0.1596,0
0.51300,-90.023,0.00000,-0.1527,0
0.51400,-90.024,0.00000,-0.1457,0
0.51500,-90.025,0.00000,-0.1385,0
0.51600,-90.025,0.00000,-0.1313,0
0.51700,-90.026,0.00000,-0.1241,0
0.51800,-90.027,0.00000,-0.1167,0
0.51900,-90.027,0.00000,-0.1093,0
0.52000,-90.028,0.00000,-0.1019,0
0.52100,-90.029,0.00000,-0.0944,0
0.52200,-90.029,0.00000,-0.0869,0
0.52300,-90.030,0.00000,-0.0794,0
0.52400,-90.030,0.00000,-0.0719,0
0.52500,-90.030,0.00000,-0.0644,0
0.52600,-90.031,0.00000,-0.0569,0
0.52700,-90.031,0.00000,-0.0494,0
0.52800,-90.031,0.00000,-0.0420,0
0.52900,-90.032,0.00000,-0.0346,0
0.53000,-90.032,0.00000,-0.0273,0
0.53100,-90.032,0.00000,-0.0200,0
0.53200,-90.032,0.00000,-0.0128,0
0.53300,-90.032,0.00000,-0.0057,0
0.53400,-90.032,0.00000,0.0014,0
0.53500,-90.032,0.00000,0.0083,0
0.53600,-90.032,0.00000,0.0151,0
0.53700,-90.032,0.00000,0.0218,0
0.53800,-90.031,0.00000,0.0284,0
0.53900,-90.031,0.00000,0.0349,0
0.54000,-90.031,0.00000,0.0413,0
0.54100,-90.031,0.00000,0.0475,0
0.54200,-90.030,0.00000,0.0535,0
0.54300,-90.030,0.00000,0.0594,0
0.54400,-90.030,0.00000,0.0652,0
0.54500,-90.029,0.00000,0.0708,0
0.54600,-90.029,0.00000,0.0762,0
0.54700,-90.028,0.00000,0.0814,0
0.54800,-90.028,0.00000,0.0865,0
0.54900,-90.027,0.00000,0.0914,0
0.55000,-90.027,0.00000,0.0961,0
0.55100,-90.026,0.00000,0.1006,0
0.55200,-90.025,0.00000,0.1049,0
0.55300,-90.025,0.00000,0.1090,0
0.55400,-90.024,0.00000,0.1129,0
0.55500,-90.023,0.00000,0.1166,0
0.55600,-90.023,0.00000,0.1201,0
0.55700,-90.022,0.00000,0.1234,0
0.55800,-90.021,0.00000,0.1265,0
0.55900,-90.020,0.00000,0.1294,0
0.56000,-90.020,0.00000,0.1321,0
0.56100,-90.019,0.00000,0.1346,0
0.56200,-90.018,0.00000,0.1368,0
0.56300,-90.017,0.00000,0.1389,0
0.56400,-90.016,0.00000,0.1407,0
0.56500,-90.015,0.00000,0.1424,0
0.56600,-90.015,0.00000,0.1438,0
0.56700,-90.014,0.00000,0.1450,0
0.56800,-90.013,0.00000,0.1460,0
0.56900,-90.012,0.00000,0.1468,0
0.57000,-90.011,0.00000,0.1474,0
0.57100,-90.010,0.00000,0.1478,0
0.57200,-90.009,0.00000,0.1480,0
0.57300,-90.008,0.00000,0.1480,0
0.57400,-90.008,0.00000,0.1478,0
0.57500,-90.007,0.00000,0.1474,0
0.57600,-90.006,0.00000,0.1468,0
0.57700,-90.005,0.00000,0.1460,0
0.57800,-90.004,0.00000,0.1447,0
0.57900,-90.003,0.00000,0.1425,0
0.58000,-90.002,0.00000,0.1391,0
0.58100,-90.002,0.00000,0.1344,0
0.58200,-90.001,0.00000,0.1290,0
0.58300,-90.000,0.00000,0.1232,0
0.58400,-89.999,0.00000,0.1174,0
0.58500,-89.999,0.00000,0.1119,0
0.58600,-89.998,0.00000,0.1068,0
0.58700,-89.997,0.00000,0.1022,0
0.58800,-89.997,0.00000,0.0983,0
0.58900,-89.996,0.00000,0.0950,0
0.59000,-89.996,0.00000,0.0921,0
0.59100,-89.995,0.00000,0.0895,0
0.59200,-89.995,0.00000,0.0870,0
0.59300,-89.994,0.00000,0.0845,0
0.59400,-89.994,0.00000,0.0819,0
0.59500,-89.993,0.00000,0.0793,0
0.59600,-89.993,0.00000,0.0766,0
0.59700,-89.992,0.00000,0.0739,0
0.59800,-89.992,0.00000,0.0711,0
0.59900,-89.991,0.00000,0.0683,0
0.60000,-89.991,0.00000,0.0655,0
0.60100,-89.991,0.00000,0.0626,0
0.60200,-89.990,0.00000,0.0596,0
0.60300,-89.990,0.00000,0.0566,0
0.60400,-89.990,0.00000,0.0536,0
0.60500,-89.989,0.00000,0.0506,0
0.60600,-89.989,0.00000,0.0475,0
0.60700,-89.989,0.00000,0.0444,0
0.60800,-89.988,0.00000,0.0413,0
0.60900,-89.988,0.00000,0.0382,0
0.61000,-89.988,0.00000,0.0351,0
0.61100,-89.988,0.00000,0.0320,0
0.61200,-89.988,0.00000,0.0289,0
0.61300,-89.988,0.00000,0.0257,0
0.61400,-89.987,0.00000,0.0226,0
0.61500,-89.987,0.00000,0.0195,0
0.61600,-89.987,0.00000,0.0164,0
0.61700,-89.987,0.00000,0.0134,0
0.61800,-89.987,0.00000,0.0103,0
0.61900,-89.987,0.00000,0.0073,0
0.62000,-89.987,0.00000,0.0043,0
0.62100,-89.987,0.00000,0.0013,0
0.62200,-89.987,0.00000,-0.0016,0
0.62300,-89.987,0.00000,-0.0045,0
0.62400,-89.987,0.00000,-0.0073,0
0.62500,-89.987,0.00000,-0.0101,0
0.62600,-89.987,0.00000,-0.0128,0
0.62700,-89.987,0.00000,-0.0155,0
0.62800,-89.987,0.00000,-0.0181,0
0.62900,-89.988,0.00000,-0.0207,0
0.63000,-89.988,0.00000,-0.0232,0
0.63100,-89.988,0.00000,-0.0257,0
0.63200,-89.988,0.00000,-0.0280,0
0.63300,-89.988,0.00000,-0.0304,0
0.63400,-89.988,0.00000,-0.0326,0
0.63500,-89.989,0.00000,-0.0348,0
0.63600,-89.989,0.00000,-0.0368,0
0.63700,-89.989,0.00000,-0.0389,0
0.63800,-89.989,0.00000,-0.0408,0
0.63900,-89.990,0.00000,-0.0427,0
0.64000,-89.990,0.00000,-0.0444,0
0.64100,-89.990,0.00000,-0.0461,0
0.64200,-89.990,0.00000,-0.0477,0
0.64300,-89.991,0.00000,-0.0492,0
0.64400,-89.991,0.00000,-0.0507,0
0.64500,-89.991,0.00000,-0.0520,0
0.64600,-89.992,0.00000,-0.0533,0
0.64700,-89.992,0.00000,-0.0545,0
0.64800,-89.992,0.00000,-0.0556,0
0.64900,-89.993,0.00000,-0.0566,0
0.65000,-89.993,0.00000,-0.0575,0
0.65100,-89.993,0.00000,-0.0583,0
0.65200,-89.994,0.00000,-0.0590,0
0.65300,-89.994,0.00000,-0.0597,0
0.65400,-89.994,0.00000,-0.0602,0
0.65500,-89.995,0.00000,-0.0607,0
0.65600,-89.995,0.00000,-0.0611,0
0.65700,-89.995,0.00000,-0.0614,0
0.65800,-89.996,0.00000,-0.0615,0
0.65900,-89.996,0.00000,-0.0614,0
0.66000,-89.997,0.00000,-0.0611,0
0.66100,-89.997,0.00000,-0.0605,0
0.66200,-89.997,0.00000,-0.0597,0
0.66300,-89.998,0.00000,-0.0586,0
0.66400,-89.998,0.00000,-0.0572,0
0.66500,-89.998,0.00000,-0.0556,0
0.66600,-89.999,0.00000,-0.0539,0
0.66700,-89.999,0.00000,-0.0520,0
0.66800,-89.999,0.00000,-0.0500,0
0.66900,-90.000,0.00000,-0.0479,0
0.67000,-90.000,0.00000,-0.0458,0
0.67100,-90.000,0.00000,-0.0438,0
0.67200,-90.000,0.00000,-0.0417,0
0.67300,-90.001,0.00000,-0.0397,0
