# Velocity Control — Tablet Force Profile
# STL,tablet_R8.5_AR2.50_CV0.35.stl,R_mm,8.5,AR,2.5,CV,0.35
# target_rpm,8.0,kv,60.0,forcelim,120.0
# density_kg_m3,1200.0
# F_Y_max,0.00000,F_Y_min,0.00000,Impulse_Ns,0.000000

Time_s,F_X_N,F_Y_N,F_Z_N,Crank_RPM,Motor_torque_Nm
1.00200,0.00000,0.00000,0.00000,-0.0088,0.0482
1.00400,0.00000,0.00000,0.00000,-0.0054,0.0553
1.00600,0.00000,0.00000,0.00000,-0.0095,0.0339
1.00800,0.00000,0.00000,0.00000,-0.0010,0.0594
1.01000,0.00000,0.00000,0.00000,-0.0151,0.0066
1.01200,0.00000,0.00000,0.00000,0.0133,0.0950
1.01400,0.00000,0.00000,0.00000,-0.0398,-0.0839
1.01600,0.00000,0.00000,0.00000,0.0765,0.2502
1.01800,0.00000,0.00000,0.00000,-0.1082,-0.4809
1.02000,0.00000,0.00000,0.00000,0.2709,0.6798
1.02200,0.00000,0.00000,0.00000,0.0818,-1.7020
1.02400,0.00000,0.00000,0.00000,0.0072,-0.5137
1.02600,0.00000,0.00000,0.00000,-0.0350,-0.0449
1.02800,0.00000,0.00000,0.00000,-0.0555,0.2199
1.03000,0.00000,0.00000,0.00000,-0.0556,0.3488
1.03200,0.00000,0.00000,0.00000,-0.0321,0.3492
1.03400,0.00000,0.00000,0.00000,-0.0183,0.2018
1.03600,0.00000,0.00000,0.00000,-0.0162,0.1147
1.03800,0.00000,0.00000,0.00000,-0.0126,0.1019
1.04000,0.00000,0.00000,0.00000,-0.0118,0.0794
1.04200,0.00000,0.00000,0.00000,-0.0096,0.0742
1.04400,0.00000,0.00000,0.00000,-0.0096,0.0605
1.04600,0.00000,0.00000,0.00000,-0.0075,0.0604
1.04800,0.00000,0.00000,0.00000,-0.0086,0.0471
1.05000,0.00000,0.00000,0.00000,-0.0052,0.0542
1.05200,0.00000,0.00000,0.00000,-0.0094,0.0328
1.05400,0.00000,0.00000,0.00000,-0.0007,0.0592
1.05600,0.00000,0.00000,0.00000,-0.0155,0.0046
1.05800,0.00000,0.00000,0.00000,0.0147,0.0976
1.06000,0.00000,0.00000,0.00000,-0.0421,-0.0921
1.06200,0.00000,0.00000,0.00000,0.0833,0.2647
1.06400,0.00000,0.00000,0.00000,-0.1113,-0.5237
1.06600,0.00000,0.00000,0.00000,0.2776,0.6990
1.06800,0.00000,0.00000,0.00000,0.0923,-1.7445
1.07000,0.00000,0.00000,0.00000,0.0115,-0.5798
1.07200,0.00000,0.00000,0.00000,-0.0343,-0.0723
1.07400,0.00000,0.00000,0.00000,-0.0569,0.2155
1.07600,0.00000,0.00000,0.00000,-0.0622,0.3575
1.07800,0.00000,0.00000,0.00000,-0.0411,0.3907
1.08000,0.00000,0.00000,0.00000,-0.0194,0.2583
1.08200,0.00000,0.00000,0.00000,-0.0173,0.1221
1.08400,0.00000,0.00000,0.00000,-0.0132,0.1087
1.08600,0.00000,0.00000,0.00000,-0.0123,0.0829
1.08800,0.00000,0.00000,0.00000,-0.0100,0.0773
1.09000,0.00000,0.00000,0.00000,-0.0099,0.0626
1.09200,0.00000,0.00000,0.00000,-0.0077,0.0621
1.09400,0.00000,0.00000,0.00000,-0.0088,0.0486
1.09600,0.00000,0.00000,0.00000,-0.0055,0.0551
1.09800,0.00000,0.00000,0.00000,-0.0093,0.0344
1.10000,0.00000,0.00000,0.00000,-0.0013,0.0587
1.10200,0.00000,0.00000,0.00000,-0.0147,0.0082
1.10400,0.00000,0.00000,0.00000,0.0124,0.0923
1.10600,0.00000,0.00000,0.00000,-0.0382,-0.0779
