# CV Sweep Experiment —,2026-06-02T16:51:35.596690
# R_mm=6.0  AR=1.5  density=1200.0  E*=5.5GPa  F0=50.0N
CV,Rs_mm,tau_A,J_A,Fmax_A,Pmax_A_MPa,Amax_A_mm2,Tcon_A_s,dmax_A_um,tau_B,J_B,Fmax_B,Pmax_B_MPa,Amax_B_mm2,Tcon_B_s,dmax_B_um,J_ratio_B_A,P_ratio_B_A
0.08,19.23,0.020000,0.00000,0.0000,2.7073,108.576043,2.4540,1797.235,0.002000,0.00000,0.0000,7.5558,26.341635,1.6920,436.027,nan,2.7909
0.11,14.30,0.020000,0.00000,0.0000,19.6781,65.813897,2.1660,1465.353,0.002000,0.00000,0.0000,36.0738,18.160920,1.6660,404.355,nan,1.8332
0.14,11.55,0.020000,0.00000,0.0000,4.3023,47.238872,2.0360,1301.387,0.002000,0.00000,0.0000,14.4308,13.844267,1.6480,381.397,nan,3.3542
0.17,9.84,0.020000,0.00000,0.0000,4.6884,36.931518,1.9560,1194.253,0.002000,0.00000,0.0000,20.2336,11.245190,1.6320,363.635,nan,4.3157
0.20,8.70,0.020000,0.00000,0.0000,11.7571,29.301249,1.6860,536.027,0.002000,0.00000,0.0000,11.0503,10.896509,1.5780,199.337,nan,0.9399
0.23,7.90,0.020000,0.00000,0.0000,34.3400,26.255736,1.8640,1057.674,0.002000,0.00000,0.0000,62.8633,8.387600,1.6160,337.882,nan,1.8306
0.26,7.33,0.020000,0.00000,0.0000,6.0928,23.268316,1.8340,1010.547,0.002000,0.00000,0.0000,74.8178,7.557220,1.6080,328.211,nan,12.2796
0.29,6.91,0.020000,0.00000,0.0000,6.0041,21.109253,1.8080,972.060,0.002000,0.00000,0.0000,233.3033,6.949670,1.7520,320.026,nan,38.8574
0.32,6.61,0.020000,0.00000,0.0000,12.0176,19.515390,1.9100,940.135,0.002000,0.00000,0.0000,753.5109,6.498197,1.9080,313.044,nan,62.7006
0.35,6.39,0.020000,0.00000,0.0000,6.3529,18.322760,2.0620,913.338,0.002000,0.00000,0.0000,74.3172,6.159947,2.0580,307.056,nan,11.6982
