# source: Data_90.xls
# max_force_N=342.0  min_force_N=8.0  avg_force_N=28.67
no,sample_idx,force_N,pressure_MPa
459,0,0.0,0.0
460,1,0.0,0.0
461,2,0.0,0.0
462,3,0.0,0.0
463,4,0.0,0.0
464,5,0.0,0.0
465,6,0.0,0.0
466,7,0.0,0.0
467,8,0.0,0.0
468,9,0.0,0.0
469,10,0.0,0.0
470,11,0.0,0.0
471,12,0.0,0.0
472,13,0.0,0.0
473,14,2.0,2.0
474,15,3.0,3.0
475,16,11.0,11.0
476,17,20.0,20.0
477,18,49.0,49.0
478,19,77.0,77.0
479,20,114.0,114.0
480,21,151.0,151.0
481,22,175.0,175.0
482,23,196.0,196.0
483,24,196.0,196.0
484,25,196.0,196.0
485,26,196.0,196.0
486,27,195.0,195.0
487,28,195.0,195.0
488,29,195.0,195.0
489,30,159.0,159.0
490,31,71.0,71.0
491,32,29.0,29.0
492,33,29.0,29.0
493,34,62.0,62.0
494,35,119.0,119.0
495,36,160.0,160.0
496,37,187.0,187.0
497,38,194.0,194.0
498,39,193.0,193.0
499,40,193.0,193.0
500,41,193.0,193.0
501,42,193.0,193.0
502,43,193.0,193.0
503,44,156.0,156.0
504,45,72.0,72.0
505,46,22.0,22.0
506,47,14.0,14.0
507,48,25.0,25.0
508,49,72.0,72.0
509,50,125.0,125.0
510,51,162.0,162.0
511,52,188.0,188.0
512,53,193.0,193.0
513,54,192.0,192.0
514,55,192.0,192.0
515,56,192.0,192.0
516,57,191.0,191.0
517,58,170.0,170.0
518,59,88.0,88.0
519,60,29.0,29.0
520,61,3.0,3.0
521,62,2.0,2.0
522,63,0.0,0.0
523,64,0.0,0.0
524,65,0.0,0.0
525,66,0.0,0.0
526,67,0.0,0.0
527,68,0.0,0.0
528,69,0.0,0.0
529,70,0.0,0.0
530,71,0.0,0.0
531,72,0.0,0.0
532,73,0.0,0.0
533,74,0.0,0.0
534,75,0.0,0.0
535,76,0.0,0.0
536,77,0.0,0.0
537,78,0.0,0.0
538,79,0.0,0.0
539,80,0.0,0.0
540,81,0.0,0.0
541,82,0.0,0.0
542,83,0.0,0.0
543,84,0.0,0.0
544,85,0.0,0.0
545,86,0.0,0.0
546,87,0.0,0.0
547,88,0.0,0.0
548,89,0.0,0.0
549,90,0.0,0.0
550,91,0.0,0.0
551,92,0.0,0.0
552,93,0.0,0.0
553,94,0.0,0.0
554,95,0.0,0.0
555,96,0.0,0.0
556,97,0.0,0.0
557,98,0.0,0.0
558,99,0.0,0.0
559,100,0.0,0.0
560,101,0.0,0.0
561,102,0.0,0.0
562,103,0.0,0.0
563,104,0.0,0.0
564,105,0.0,0.0
565,106,0.0,0.0
566,107,0.0,0.0
567,108,0.0,0.0
568,109,0.0,0.0
569,110,0.0,0.0
570,111,0.0,0.0
571,112,0.0,0.0
572,113,0.0,0.0
573,114,0.0,0.0
574,115,0.0,0.0
575,116,0.0,0.0
576,117,0.0,0.0
577,118,0.0,0.0
578,119,0.0,0.0
579,120,0.0,0.0
580,121,0.0,0.0
581,122,0.0,0.0
582,123,0.0,0.0
583,124,0.0,0.0
584,125,0.0,0.0
585,126,0.0,0.0
586,127,0.0,0.0
587,128,0.0,0.0
588,129,0.0,0.0
589,130,0.0,0.0
590,131,0.0,0.0
591,132,0.0,0.0
592,133,0.0,0.0
593,134,0.0,0.0
594,135,0.0,0.0
595,136,0.0,0.0
596,137,0.0,0.0
597,138,0.0,0.0
598,139,0.0,0.0
599,140,0.0,0.0
600,141,0.0,0.0
601,142,0.0,0.0
602,143,0.0,0.0
603,144,0.0,0.0
604,145,0.0,0.0
605,146,0.0,0.0
606,147,0.0,0.0
607,148,0.0,0.0
608,149,0.0,0.0
609,150,0.0,0.0
610,151,0.0,0.0
611,152,0.0,0.0
612,153,0.0,0.0
613,154,0.0,0.0
614,155,0.0,0.0
615,156,0.0,0.0
616,157,0.0,0.0
617,158,0.0,0.0
618,159,2.0,2.0
619,160,3.0,3.0
620,161,16.0,16.0
621,162,41.0,41.0
622,163,60.0,60.0
623,164,82.0,82.0
624,165,100.0,100.0
625,166,105.0,105.0
626,167,104.0,104.0
627,168,103.0,103.0
628,169,103.0,103.0
629,170,103.0,103.0
630,171,103.0,103.0
631,172,103.0,103.0
632,173,78.0,78.0
633,174,26.0,26.0
634,175,2.0,2.0
635,176,1.0,1.0
636,177,0.0,0.0
637,178,0.0,0.0
638,179,0.0,0.0
639,180,0.0,0.0
640,181,0.0,0.0
641,182,0.0,0.0
642,183,0.0,0.0
643,184,0.0,0.0
644,185,0.0,0.0
645,186,0.0,0.0
646,187,0.0,0.0
647,188,0.0,0.0
648,189,0.0,0.0
649,190,0.0,0.0
650,191,0.0,0.0
651,192,0.0,0.0
652,193,0.0,0.0
653,194,0.0,0.0
654,195,0.0,0.0
655,196,0.0,0.0
656,197,0.0,0.0
657,198,0.0,0.0
658,199,0.0,0.0
659,200,0.0,0.0
660,201,0.0,0.0
661,202,0.0,0.0
662,203,0.0,0.0
663,204,0.0,0.0
664,205,0.0,0.0
665,206,0.0,0.0
666,207,0.0,0.0
667,208,0.0,0.0
668,209,0.0,0.0
669,210,0.0,0.0
670,211,0.0,0.0
671,212,0.0,0.0
672,213,0.0,0.0
673,214,0.0,0.0
674,215,0.0,0.0
675,216,0.0,0.0
676,217,0.0,0.0
677,218,0.0,0.0
678,219,0.0,0.0
679,220,0.0,0.0
680,221,0.0,0.0
681,222,0.0,0.0
682,223,0.0,0.0
683,224,0.0,0.0
684,225,0.0,0.0
685,226,0.0,0.0
686,227,0.0,0.0
687,228,0.0,0.0
688,229,0.0,0.0
689,230,0.0,0.0
690,231,0.0,0.0
691,232,0.0,0.0
692,233,0.0,0.0
693,234,0.0,0.0
694,235,0.0,0.0
695,236,0.0,0.0
696,237,0.0,0.0
697,238,0.0,0.0
698,239,0.0,0.0
699,240,0.0,0.0
700,241,0.0,0.0
701,242,0.0,0.0
702,243,0.0,0.0
703,244,0.0,0.0
704,245,0.0,0.0
705,246,0.0,0.0
706,247,0.0,0.0
707,248,0.0,0.0
708,249,0.0,0.0
709,250,0.0,0.0
710,251,0.0,0.0
711,252,0.0,0.0
712,253,0.0,0.0
713,254,0.0,0.0
714,255,0.0,0.0
715,256,0.0,0.0
716,257,0.0,0.0
717,258,0.0,0.0
718,259,0.0,0.0
719,260,0.0,0.0
720,261,0.0,0.0
721,262,0.0,0.0
722,263,0.0,0.0
723,264,0.0,0.0
724,265,0.0,0.0
725,266,0.0,0.0
726,267,0.0,0.0
727,268,0.0,0.0
728,269,2.0,2.0
729,270,3.0,3.0
730,271,13.0,13.0
731,272,24.0,24.0
732,273,52.0,52.0
733,274,87.0,87.0
734,275,127.0,127.0
735,276,158.0,158.0
736,277,180.0,180.0
737,278,196.0,196.0
738,279,196.0,196.0
739,280,196.0,196.0
740,281,196.0,196.0
741,282,196.0,196.0
742,283,195.0,195.0
743,284,195.0,195.0
744,285,163.0,163.0
745,286,77.0,77.0
746,287,25.0,25.0
747,288,3.0,3.0
748,289,2.0,2.0
749,290,0.0,0.0
750,291,0.0,0.0
751,292,0.0,0.0
752,293,0.0,0.0
753,294,0.0,0.0
754,295,0.0,0.0
755,296,0.0,0.0
756,297,0.0,0.0
757,298,0.0,0.0
758,299,0.0,0.0
759,300,0.0,0.0
760,301,0.0,0.0
761,302,0.0,0.0
762,303,0.0,0.0
763,304,0.0,0.0
764,305,0.0,0.0
765,306,0.0,0.0
766,307,0.0,0.0
767,308,0.0,0.0
768,309,0.0,0.0
769,310,0.0,0.0
770,311,0.0,0.0
771,312,0.0,0.0
772,313,0.0,0.0
773,314,0.0,0.0
774,315,0.0,0.0
775,316,0.0,0.0
776,317,0.0,0.0
777,318,0.0,0.0
778,319,0.0,0.0
779,320,0.0,0.0
780,321,0.0,0.0
781,322,0.0,0.0
782,323,0.0,0.0
783,324,0.0,0.0
784,325,0.0,0.0
785,326,0.0,0.0
786,327,0.0,0.0
787,328,0.0,0.0
788,329,0.0,0.0
789,330,0.0,0.0
790,331,0.0,0.0
791,332,0.0,0.0
792,333,0.0,0.0
793,334,0.0,0.0
794,335,0.0,0.0
795,336,0.0,0.0
796,337,0.0,0.0
797,338,0.0,0.0
798,339,0.0,0.0
799,340,0.0,0.0
800,341,0.0,0.0
801,342,0.0,0.0
802,343,0.0,0.0
803,344,0.0,0.0
804,345,0.0,0.0
805,346,0.0,0.0
806,347,0.0,0.0
807,348,0.0,0.0
808,349,0.0,0.0
809,350,0.0,0.0
810,351,0.0,0.0
811,352,0.0,0.0
812,353,0.0,0.0
813,354,0.0,0.0
814,355,0.0,0.0
815,356,0.0,0.0
816,357,0.0,0.0
817,358,0.0,0.0
818,359,0.0,0.0
