filename,R_mm,AR,CV,diameter_mm,major_diameter_mm,total_thickness_mm,band_height_mm,cup_depth_mm,sphere_radius_mm
tablet_R4.0_AR1.00_CV0.08.stl,4.0,1.0,0.08,8.0,8.0,2.08,0.8,0.64,12.82
tablet_R4.0_AR1.00_CV0.11.stl,4.0,1.0,0.11,8.0,8.0,2.56,0.8,0.88,9.53
tablet_R4.0_AR1.00_CV0.14.stl,4.0,1.0,0.14,8.0,8.0,3.04,0.8,1.12,7.7
tablet_R4.0_AR1.00_CV0.17.stl,4.0,1.0,0.17,8.0,8.0,3.52,0.8,1.36,6.56
tablet_R4.0_AR1.00_CV0.20.stl,4.0,1.0,0.2,8.0,8.0,4.0,0.8,1.6,5.8
tablet_R4.0_AR1.00_CV0.23.stl,4.0,1.0,0.23,8.0,8.0,4.48,0.8,1.84,5.27
tablet_R4.0_AR1.00_CV0.26.stl,4.0,1.0,0.26,8.0,8.0,4.96,0.8,2.08,4.89
tablet_R4.0_AR1.00_CV0.29.stl,4.0,1.0,0.29,8.0,8.0,5.44,0.8,2.32,4.61
tablet_R4.0_AR1.00_CV0.32.stl,4.0,1.0,0.32,8.0,8.0,5.92,0.8,2.56,4.4
tablet_R4.0_AR1.00_CV0.35.stl,4.0,1.0,0.35,8.0,8.0,6.4,0.8,2.8,4.26
tablet_R4.0_AR1.17_CV0.08.stl,4.0,1.17,0.08,8.0,9.4,2.08,0.8,0.64,12.82
tablet_R4.0_AR1.17_CV0.11.stl,4.0,1.17,0.11,8.0,9.4,2.56,0.8,0.88,9.53
tablet_R4.0_AR1.17_CV0.14.stl,4.0,1.17,0.14,8.0,9.4,3.04,0.8,1.12,7.7
tablet_R4.0_AR1.17_CV0.17.stl,4.0,1.17,0.17,8.0,9.4,3.52,0.8,1.36,6.56
tablet_R4.0_AR1.17_CV0.20.stl,4.0,1.17,0.2,8.0,9.4,4.0,0.8,1.6,5.8
tablet_R4.0_AR1.17_CV0.23.stl,4.0,1.17,0.23,8.0,9.4,4.48,0.8,1.84,5.27
tablet_R4.0_AR1.17_CV0.26.stl,4.0,1.17,0.26,8.0,9.4,4.96,0.8,2.08,4.89
tablet_R4.0_AR1.17_CV0.29.stl,4.0,1.17,0.29,8.0,9.4,5.44,0.8,2.32,4.61
tablet_R4.0_AR1.17_CV0.32.stl,4.0,1.17,0.32,8.0,9.4,5.92,0.8,2.56,4.4
tablet_R4.0_AR1.17_CV0.35.stl,4.0,1.17,0.35,8.0,9.4,6.4,0.8,2.8,4.26
tablet_R4.0_AR1.33_CV0.08.stl,4.0,1.33,0.08,8.0,10.6,2.08,0.8,0.64,12.82
tablet_R4.0_AR1.33_CV0.11.stl,4.0,1.33,0.11,8.0,10.6,2.56,0.8,0.88,9.53
tablet_R4.0_AR1.33_CV0.14.stl,4.0,1.33,0.14,8.0,10.6,3.04,0.8,1.12,7.7
tablet_R4.0_AR1.33_CV0.17.stl,4.0,1.33,0.17,8.0,10.6,3.52,0.8,1.36,6.56
tablet_R4.0_AR1.33_CV0.20.stl,4.0,1.33,0.2,8.0,10.6,4.0,0.8,1.6,5.8
tablet_R4.0_AR1.33_CV0.23.stl,4.0,1.33,0.23,8.0,10.6,4.48,0.8,1.84,5.27
tablet_R4.0_AR1.33_CV0.26.stl,4.0,1.33,0.26,8.0,10.6,4.96,0.8,2.08,4.89
tablet_R4.0_AR1.33_CV0.29.stl,4.0,1.33,0.29,8.0,10.6,5.44,0.8,2.32,4.61
tablet_R4.0_AR1.33_CV0.32.stl,4.0,1.33,0.32,8.0,10.6,5.92,0.8,2.56,4.4
tablet_R4.0_AR1.33_CV0.35.stl,4.0,1.33,0.35,8.0,10.6,6.4,0.8,2.8,4.26
tablet_R4.0_AR1.50_CV0.08.stl,4.0,1.5,0.08,8.0,12.0,2.08,0.8,0.64,12.82
tablet_R4.0_AR1.50_CV0.11.stl,4.0,1.5,0.11,8.0,12.0,2.56,0.8,0.88,9.53
tablet_R4.0_AR1.50_CV0.14.stl,4.0,1.5,0.14,8.0,12.0,3.04,0.8,1.12,7.7
tablet_R4.0_AR1.50_CV0.17.stl,4.0,1.5,0.17,8.0,12.0,3.52,0.8,1.36,6.56
tablet_R4.0_AR1.50_CV0.20.stl,4.0,1.5,0.2,8.0,12.0,4.0,0.8,1.6,5.8
tablet_R4.0_AR1.50_CV0.23.stl,4.0,1.5,0.23,8.0,12.0,4.48,0.8,1.84,5.27
tablet_R4.0_AR1.50_CV0.26.stl,4.0,1.5,0.26,8.0,12.0,4.96,0.8,2.08,4.89
tablet_R4.0_AR1.50_CV0.29.stl,4.0,1.5,0.29,8.0,12.0,5.44,0.8,2.32,4.61
tablet_R4.0_AR1.50_CV0.32.stl,4.0,1.5,0.32,8.0,12.0,5.92,0.8,2.56,4.4
tablet_R4.0_AR1.50_CV0.35.stl,4.0,1.5,0.35,8.0,12.0,6.4,0.8,2.8,4.26
tablet_R4.0_AR1.67_CV0.08.stl,4.0,1.67,0.08,8.0,13.4,2.08,0.8,0.64,12.82
tablet_R4.0_AR1.67_CV0.11.stl,4.0,1.67,0.11,8.0,13.4,2.56,0.8,0.88,9.53
tablet_R4.0_AR1.67_CV0.14.stl,4.0,1.67,0.14,8.0,13.4,3.04,0.8,1.12,7.7
tablet_R4.0_AR1.67_CV0.17.stl,4.0,1.67,0.17,8.0,13.4,3.52,0.8,1.36,6.56
tablet_R4.0_AR1.67_CV0.20.stl,4.0,1.67,0.2,8.0,13.4,4.0,0.8,1.6,5.8
tablet_R4.0_AR1.67_CV0.23.stl,4.0,1.67,0.23,8.0,13.4,4.48,0.8,1.84,5.27
tablet_R4.0_AR1.67_CV0.26.stl,4.0,1.67,0.26,8.0,13.4,4.96,0.8,2.08,4.89
tablet_R4.0_AR1.67_CV0.29.stl,4.0,1.67,0.29,8.0,13.4,5.44,0.8,2.32,4.61
tablet_R4.0_AR1.67_CV0.32.stl,4.0,1.67,0.32,8.0,13.4,5.92,0.8,2.56,4.4
tablet_R4.0_AR1.67_CV0.35.stl,4.0,1.67,0.35,8.0,13.4,6.4,0.8,2.8,4.26
tablet_R4.0_AR1.83_CV0.08.stl,4.0,1.83,0.08,8.0,14.6,2.08,0.8,0.64,12.82
tablet_R4.0_AR1.83_CV0.11.stl,4.0,1.83,0.11,8.0,14.6,2.56,0.8,0.88,9.53
tablet_R4.0_AR1.83_CV0.14.stl,4.0,1.83,0.14,8.0,14.6,3.04,0.8,1.12,7.7
tablet_R4.0_AR1.83_CV0.17.stl,4.0,1.83,0.17,8.0,14.6,3.52,0.8,1.36,6.56
tablet_R4.0_AR1.83_CV0.20.stl,4.0,1.83,0.2,8.0,14.6,4.0,0.8,1.6,5.8
tablet_R4.0_AR1.83_CV0.23.stl,4.0,1.83,0.23,8.0,14.6,4.48,0.8,1.84,5.27
tablet_R4.0_AR1.83_CV0.26.stl,4.0,1.83,0.26,8.0,14.6,4.96,0.8,2.08,4.89
tablet_R4.0_AR1.83_CV0.29.stl,4.0,1.83,0.29,8.0,14.6,5.44,0.8,2.32,4.61
tablet_R4.0_AR1.83_CV0.32.stl,4.0,1.83,0.32,8.0,14.6,5.92,0.8,2.56,4.4
tablet_R4.0_AR1.83_CV0.35.stl,4.0,1.83,0.35,8.0,14.6,6.4,0.8,2.8,4.26
tablet_R4.0_AR2.00_CV0.08.stl,4.0,2.0,0.08,8.0,16.0,2.08,0.8,0.64,12.82
tablet_R4.0_AR2.00_CV0.11.stl,4.0,2.0,0.11,8.0,16.0,2.56,0.8,0.88,9.53
tablet_R4.0_AR2.00_CV0.14.stl,4.0,2.0,0.14,8.0,16.0,3.04,0.8,1.12,7.7
tablet_R4.0_AR2.00_CV0.17.stl,4.0,2.0,0.17,8.0,16.0,3.52,0.8,1.36,6.56
tablet_R4.0_AR2.00_CV0.20.stl,4.0,2.0,0.2,8.0,16.0,4.0,0.8,1.6,5.8
tablet_R4.0_AR2.00_CV0.23.stl,4.0,2.0,0.23,8.0,16.0,4.48,0.8,1.84,5.27
tablet_R4.0_AR2.00_CV0.26.stl,4.0,2.0,0.26,8.0,16.0,4.96,0.8,2.08,4.89
tablet_R4.0_AR2.00_CV0.29.stl,4.0,2.0,0.29,8.0,16.0,5.44,0.8,2.32,4.61
tablet_R4.0_AR2.00_CV0.32.stl,4.0,2.0,0.32,8.0,16.0,5.92,0.8,2.56,4.4
tablet_R4.0_AR2.00_CV0.35.stl,4.0,2.0,0.35,8.0,16.0,6.4,0.8,2.8,4.26
tablet_R4.0_AR2.17_CV0.08.stl,4.0,2.17,0.08,8.0,17.4,2.08,0.8,0.64,12.82
tablet_R4.0_AR2.17_CV0.11.stl,4.0,2.17,0.11,8.0,17.4,2.56,0.8,0.88,9.53
tablet_R4.0_AR2.17_CV0.14.stl,4.0,2.17,0.14,8.0,17.4,3.04,0.8,1.12,7.7
tablet_R4.0_AR2.17_CV0.17.stl,4.0,2.17,0.17,8.0,17.4,3.52,0.8,1.36,6.56
tablet_R4.0_AR2.17_CV0.20.stl,4.0,2.17,0.2,8.0,17.4,4.0,0.8,1.6,5.8
tablet_R4.0_AR2.17_CV0.23.stl,4.0,2.17,0.23,8.0,17.4,4.48,0.8,1.84,5.27
tablet_R4.0_AR2.17_CV0.26.stl,4.0,2.17,0.26,8.0,17.4,4.96,0.8,2.08,4.89
tablet_R4.0_AR2.17_CV0.29.stl,4.0,2.17,0.29,8.0,17.4,5.44,0.8,2.32,4.61
tablet_R4.0_AR2.17_CV0.32.stl,4.0,2.17,0.32,8.0,17.4,5.92,0.8,2.56,4.4
tablet_R4.0_AR2.17_CV0.35.stl,4.0,2.17,0.35,8.0,17.4,6.4,0.8,2.8,4.26
tablet_R4.0_AR2.33_CV0.08.stl,4.0,2.33,0.08,8.0,18.6,2.08,0.8,0.64,12.82
tablet_R4.0_AR2.33_CV0.11.stl,4.0,2.33,0.11,8.0,18.6,2.56,0.8,0.88,9.53
tablet_R4.0_AR2.33_CV0.14.stl,4.0,2.33,0.14,8.0,18.6,3.04,0.8,1.12,7.7
tablet_R4.0_AR2.33_CV0.17.stl,4.0,2.33,0.17,8.0,18.6,3.52,0.8,1.36,6.56
tablet_R4.0_AR2.33_CV0.20.stl,4.0,2.33,0.2,8.0,18.6,4.0,0.8,1.6,5.8
tablet_R4.0_AR2.33_CV0.23.stl,4.0,2.33,0.23,8.0,18.6,4.48,0.8,1.84,5.27
tablet_R4.0_AR2.33_CV0.26.stl,4.0,2.33,0.26,8.0,18.6,4.96,0.8,2.08,4.89
tablet_R4.0_AR2.33_CV0.29.stl,4.0,2.33,0.29,8.0,18.6,5.44,0.8,2.32,4.61
tablet_R4.0_AR2.33_CV0.32.stl,4.0,2.33,0.32,8.0,18.6,5.92,0.8,2.56,4.4
tablet_R4.0_AR2.33_CV0.35.stl,4.0,2.33,0.35,8.0,18.6,6.4,0.8,2.8,4.26
tablet_R4.0_AR2.50_CV0.08.stl,4.0,2.5,0.08,8.0,20.0,2.08,0.8,0.64,12.82
tablet_R4.0_AR2.50_CV0.11.stl,4.0,2.5,0.11,8.0,20.0,2.56,0.8,0.88,9.53
tablet_R4.0_AR2.50_CV0.14.stl,4.0,2.5,0.14,8.0,20.0,3.04,0.8,1.12,7.7
tablet_R4.0_AR2.50_CV0.17.stl,4.0,2.5,0.17,8.0,20.0,3.52,0.8,1.36,6.56
tablet_R4.0_AR2.50_CV0.20.stl,4.0,2.5,0.2,8.0,20.0,4.0,0.8,1.6,5.8
tablet_R4.0_AR2.50_CV0.23.stl,4.0,2.5,0.23,8.0,20.0,4.48,0.8,1.84,5.27
tablet_R4.0_AR2.50_CV0.26.stl,4.0,2.5,0.26,8.0,20.0,4.96,0.8,2.08,4.89
tablet_R4.0_AR2.50_CV0.29.stl,4.0,2.5,0.29,8.0,20.0,5.44,0.8,2.32,4.61
tablet_R4.0_AR2.50_CV0.32.stl,4.0,2.5,0.32,8.0,20.0,5.92,0.8,2.56,4.4
tablet_R4.0_AR2.50_CV0.35.stl,4.0,2.5,0.35,8.0,20.0,6.4,0.8,2.8,4.26
tablet_R4.5_AR1.00_CV0.08.stl,4.5,1.0,0.08,9.0,9.0,2.34,0.9,0.72,14.42
tablet_R4.5_AR1.00_CV0.11.stl,4.5,1.0,0.11,9.0,9.0,2.88,0.9,0.99,10.72
tablet_R4.5_AR1.00_CV0.14.stl,4.5,1.0,0.14,9.0,9.0,3.42,0.9,1.26,8.67
tablet_R4.5_AR1.00_CV0.17.stl,4.5,1.0,0.17,9.0,9.0,3.96,0.9,1.53,7.38
tablet_R4.5_AR1.00_CV0.20.stl,4.5,1.0,0.2,9.0,9.0,4.5,0.9,1.8,6.52
tablet_R4.5_AR1.00_CV0.23.stl,4.5,1.0,0.23,9.0,9.0,5.04,0.9,2.07,5.93
tablet_R4.5_AR1.00_CV0.26.stl,4.5,1.0,0.26,9.0,9.0,5.58,0.9,2.34,5.5
tablet_R4.5_AR1.00_CV0.29.stl,4.5,1.0,0.29,9.0,9.0,6.12,0.9,2.61,5.18
tablet_R4.5_AR1.00_CV0.32.stl,4.5,1.0,0.32,9.0,9.0,6.66,0.9,2.88,4.96
tablet_R4.5_AR1.00_CV0.35.stl,4.5,1.0,0.35,9.0,9.0,7.2,0.9,3.15,4.79
tablet_R4.5_AR1.17_CV0.08.stl,4.5,1.17,0.08,9.0,10.5,2.34,0.9,0.72,14.42
tablet_R4.5_AR1.17_CV0.11.stl,4.5,1.17,0.11,9.0,10.5,2.88,0.9,0.99,10.72
tablet_R4.5_AR1.17_CV0.14.stl,4.5,1.17,0.14,9.0,10.5,3.42,0.9,1.26,8.67
tablet_R4.5_AR1.17_CV0.17.stl,4.5,1.17,0.17,9.0,10.5,3.96,0.9,1.53,7.38
tablet_R4.5_AR1.17_CV0.20.stl,4.5,1.17,0.2,9.0,10.5,4.5,0.9,1.8,6.52
tablet_R4.5_AR1.17_CV0.23.stl,4.5,1.17,0.23,9.0,10.5,5.04,0.9,2.07,5.93
tablet_R4.5_AR1.17_CV0.26.stl,4.5,1.17,0.26,9.0,10.5,5.58,0.9,2.34,5.5
tablet_R4.5_AR1.17_CV0.29.stl,4.5,1.17,0.29,9.0,10.5,6.12,0.9,2.61,5.18
tablet_R4.5_AR1.17_CV0.32.stl,4.5,1.17,0.32,9.0,10.5,6.66,0.9,2.88,4.96
tablet_R4.5_AR1.17_CV0.35.stl,4.5,1.17,0.35,9.0,10.5,7.2,0.9,3.15,4.79
tablet_R4.5_AR1.33_CV0.08.stl,4.5,1.33,0.08,9.0,12.0,2.34,0.9,0.72,14.42
tablet_R4.5_AR1.33_CV0.11.stl,4.5,1.33,0.11,9.0,12.0,2.88,0.9,0.99,10.72
tablet_R4.5_AR1.33_CV0.14.stl,4.5,1.33,0.14,9.0,12.0,3.42,0.9,1.26,8.67
tablet_R4.5_AR1.33_CV0.17.stl,4.5,1.33,0.17,9.0,12.0,3.96,0.9,1.53,7.38
tablet_R4.5_AR1.33_CV0.20.stl,4.5,1.33,0.2,9.0,12.0,4.5,0.9,1.8,6.52
tablet_R4.5_AR1.33_CV0.23.stl,4.5,1.33,0.23,9.0,12.0,5.04,0.9,2.07,5.93
tablet_R4.5_AR1.33_CV0.26.stl,4.5,1.33,0.26,9.0,12.0,5.58,0.9,2.34,5.5
tablet_R4.5_AR1.33_CV0.29.stl,4.5,1.33,0.29,9.0,12.0,6.12,0.9,2.61,5.18
tablet_R4.5_AR1.33_CV0.32.stl,4.5,1.33,0.32,9.0,12.0,6.66,0.9,2.88,4.96
tablet_R4.5_AR1.33_CV0.35.stl,4.5,1.33,0.35,9.0,12.0,7.2,0.9,3.15,4.79
tablet_R4.5_AR1.50_CV0.08.stl,4.5,1.5,0.08,9.0,13.5,2.34,0.9,0.72,14.42
tablet_R4.5_AR1.50_CV0.11.stl,4.5,1.5,0.11,9.0,13.5,2.88,0.9,0.99,10.72
tablet_R4.5_AR1.50_CV0.14.stl,4.5,1.5,0.14,9.0,13.5,3.42,0.9,1.26,8.67
tablet_R4.5_AR1.50_CV0.17.stl,4.5,1.5,0.17,9.0,13.5,3.96,0.9,1.53,7.38
tablet_R4.5_AR1.50_CV0.20.stl,4.5,1.5,0.2,9.0,13.5,4.5,0.9,1.8,6.52
tablet_R4.5_AR1.50_CV0.23.stl,4.5,1.5,0.23,9.0,13.5,5.04,0.9,2.07,5.93
tablet_R4.5_AR1.50_CV0.26.stl,4.5,1.5,0.26,9.0,13.5,5.58,0.9,2.34,5.5
tablet_R4.5_AR1.50_CV0.29.stl,4.5,1.5,0.29,9.0,13.5,6.12,0.9,2.61,5.18
tablet_R4.5_AR1.50_CV0.32.stl,4.5,1.5,0.32,9.0,13.5,6.66,0.9,2.88,4.96
tablet_R4.5_AR1.50_CV0.35.stl,4.5,1.5,0.35,9.0,13.5,7.2,0.9,3.15,4.79
tablet_R4.5_AR1.67_CV0.08.stl,4.5,1.67,0.08,9.0,15.0,2.34,0.9,0.72,14.42
tablet_R4.5_AR1.67_CV0.11.stl,4.5,1.67,0.11,9.0,15.0,2.88,0.9,0.99,10.72
tablet_R4.5_AR1.67_CV0.14.stl,4.5,1.67,0.14,9.0,15.0,3.42,0.9,1.26,8.67
tablet_R4.5_AR1.67_CV0.17.stl,4.5,1.67,0.17,9.0,15.0,3.96,0.9,1.53,7.38
tablet_R4.5_AR1.67_CV0.20.stl,4.5,1.67,0.2,9.0,15.0,4.5,0.9,1.8,6.52
tablet_R4.5_AR1.67_CV0.23.stl,4.5,1.67,0.23,9.0,15.0,5.04,0.9,2.07,5.93
tablet_R4.5_AR1.67_CV0.26.stl,4.5,1.67,0.26,9.0,15.0,5.58,0.9,2.34,5.5
tablet_R4.5_AR1.67_CV0.29.stl,4.5,1.67,0.29,9.0,15.0,6.12,0.9,2.61,5.18
tablet_R4.5_AR1.67_CV0.32.stl,4.5,1.67,0.32,9.0,15.0,6.66,0.9,2.88,4.96
tablet_R4.5_AR1.67_CV0.35.stl,4.5,1.67,0.35,9.0,15.0,7.2,0.9,3.15,4.79
tablet_R4.5_AR1.83_CV0.08.stl,4.5,1.83,0.08,9.0,16.5,2.34,0.9,0.72,14.42
tablet_R4.5_AR1.83_CV0.11.stl,4.5,1.83,0.11,9.0,16.5,2.88,0.9,0.99,10.72
tablet_R4.5_AR1.83_CV0.14.stl,4.5,1.83,0.14,9.0,16.5,3.42,0.9,1.26,8.67
tablet_R4.5_AR1.83_CV0.17.stl,4.5,1.83,0.17,9.0,16.5,3.96,0.9,1.53,7.38
tablet_R4.5_AR1.83_CV0.20.stl,4.5,1.83,0.2,9.0,16.5,4.5,0.9,1.8,6.52
tablet_R4.5_AR1.83_CV0.23.stl,4.5,1.83,0.23,9.0,16.5,5.04,0.9,2.07,5.93
tablet_R4.5_AR1.83_CV0.26.stl,4.5,1.83,0.26,9.0,16.5,5.58,0.9,2.34,5.5
tablet_R4.5_AR1.83_CV0.29.stl,4.5,1.83,0.29,9.0,16.5,6.12,0.9,2.61,5.18
tablet_R4.5_AR1.83_CV0.32.stl,4.5,1.83,0.32,9.0,16.5,6.66,0.9,2.88,4.96
tablet_R4.5_AR1.83_CV0.35.stl,4.5,1.83,0.35,9.0,16.5,7.2,0.9,3.15,4.79
tablet_R4.5_AR2.00_CV0.08.stl,4.5,2.0,0.08,9.0,18.0,2.34,0.9,0.72,14.42
tablet_R4.5_AR2.00_CV0.11.stl,4.5,2.0,0.11,9.0,18.0,2.88,0.9,0.99,10.72
tablet_R4.5_AR2.00_CV0.14.stl,4.5,2.0,0.14,9.0,18.0,3.42,0.9,1.26,8.67
tablet_R4.5_AR2.00_CV0.17.stl,4.5,2.0,0.17,9.0,18.0,3.96,0.9,1.53,7.38
tablet_R4.5_AR2.00_CV0.20.stl,4.5,2.0,0.2,9.0,18.0,4.5,0.9,1.8,6.52
tablet_R4.5_AR2.00_CV0.23.stl,4.5,2.0,0.23,9.0,18.0,5.04,0.9,2.07,5.93
tablet_R4.5_AR2.00_CV0.26.stl,4.5,2.0,0.26,9.0,18.0,5.58,0.9,2.34,5.5
tablet_R4.5_AR2.00_CV0.29.stl,4.5,2.0,0.29,9.0,18.0,6.12,0.9,2.61,5.18
tablet_R4.5_AR2.00_CV0.32.stl,4.5,2.0,0.32,9.0,18.0,6.66,0.9,2.88,4.96
tablet_R4.5_AR2.00_CV0.35.stl,4.5,2.0,0.35,9.0,18.0,7.2,0.9,3.15,4.79
tablet_R4.5_AR2.17_CV0.08.stl,4.5,2.17,0.08,9.0,19.5,2.34,0.9,0.72,14.42
tablet_R4.5_AR2.17_CV0.11.stl,4.5,2.17,0.11,9.0,19.5,2.88,0.9,0.99,10.72
tablet_R4.5_AR2.17_CV0.14.stl,4.5,2.17,0.14,9.0,19.5,3.42,0.9,1.26,8.67
tablet_R4.5_AR2.17_CV0.17.stl,4.5,2.17,0.17,9.0,19.5,3.96,0.9,1.53,7.38
